type,id,Labels_001,Labels_002,properties_unique,properties_namespace,properties_description,properties_title,properties_uri,properties_xsd_type,properties_identifier,properties_ontology_level,properties_html_info,properties_admin,properties_sing,properties_pl,properties_version,properties_comment,properties_url,label,start_id,start_labels,end_id,end_labels_001,properties_level,end_labels_002
node,0,TBox,property,False,dcterms,Date of creation of the resource.,created,http://example.org/tbox/created,xsd:dateTimeStamp,,,,,,,,,,,,,,,,
node,1,TBox,property,False,dcterms,A URI that identifies a party or group who can access the resource or an indication of its security status.,accessrights,http://example.org/tbox/accessrights,xsd:anyURI,,,,,,,,,,,,,,,,
node,2,Abox,,,,A Sensor Collar,SensorCollar1,,,http://example.org/abox/SensorCollar8153e23d,,,,,,,,,,,,,,,
node,3,Abox,,,,A Herd,Herd1,,,http://example.org/abox/Herdae1a69e9,,,,,,,,,,,,,,,
node,4,Abox,,,,A Cow,Cow1,,,http://example.org/abox/Cowebcc054f,,,,,,,,,,,,,,,
node,5,Abox,,,,A IMU Sensor,IMUSensor1,,,http://example.org/abox/IMUSensorf9404e5d,,,,,,,,,,,,,,,
node,6,Abox,,,,An activity,Sensing2,,,http://example.org/abox/Sensingae00225d,,,,,,,,,,,,,,,
node,7,Abox,,,,An activity,Sensing1,,,http://example.org/abox/Sensingc772a8a1,,,,,,,,,,,,,,,
node,8,Abox,,,,A query,Query1,,,http://example.org/abox/Query39192292,,,,,,,,,,,,,,,
node,9,Abox,,,,A query,Query2,,,http://example.org/abox/Querybc3837d3,,,,,,,,,,,,,,,
node,10,Abox,,,,A query,Query3,,,http://example.org/abox/Queryad1015ac,,,,,,,,,,,,,,,
node,11,Abox,,,,A query,Query4,,,http://example.org/abox/Queryf1f13065,,,,,,,,,,,,,,,
node,12,Abox,,,,An IMUSensro data,IMUData1,,,http://example.org/abox/IMUSensorData022035ed,,,,,,,,,,,,,,,
node,13,Abox,,,,Video data generated from vedio sensing,VideoRecording1,,,http://example.org/abox/VideoDatadb84cb6d,,,,,,,,,,,,,,,
node,14,Abox,,,,An activity which represents an expert stays at farm to collect data,FarmStay1,,,http://example.org/abox/FarmStayb34f5094,,,,,,,,,,,,,,,
node,15,Abox,,,,An agent or person,Lara,,,http://example.org/abox/Person7bcedef0,,,,,,,,,,,,,,,
node,16,Abox,,,,An activity that happens in the farm for collecting groundtruth data,GroundTruthGeneration1,,,http://example.org/abox/GroundTruthGenerationf6f3135b,,,,,,,,,,,,,,,
node,17,Abox,,,,a DataSet that contains the ground truth generated from video files,GroundTruth1,,,http://example.org/abox/GroundTruth949a4f3a,,,,,,,,,,,,,,,
node,18,Abox,,,,A specified set of data that is stored in a data store and can be retrieved using a query.,Database1,,,http://example.org/abox/DataSet743f627d,,,,,,,,,,,,,,,
node,19,Abox,,,,An activity for converting raw data into,DataProcessing1,,,http://example.org/abox/DataProcessing7c27853b,,,,,,,,,,,,,,,
node,20,Abox,,,,A system that represents an algorithm that can manipulate data ,DataProcessor1,,,http://example.org/abox/DataProcessor2c6f126c,,,,,,,,,,,,,,,
node,21,Abox,,,,An activity to create a labeled data set from a sensor dataset ,Train1,,,http://example.org/abox/Training985c51af,,,,,,,,,,,,,,,
node,22,Abox,,,,An activity to generate a LearningModel from a DataProcessor,ModelGeneration1,,,http://example.org/abox/ModelGenerationcbe4c4b4,,,,,,,,,,,,,,,
node,23,Abox,,,,A document generated by Evaluation activity over labeledData,FeedbackReport1,,,http://example.org/abox/FeedbackReport4aeb69fb,,,,,,,,,,,,,,,
node,24,TBox,,,skm,Mother of all knowledge classes.,D4Thing,,,http://example.org/tbox/kbmsthing,upper,Add a new general item that does not have a specific type.,yes,KBMS Thing,KBMS Things,v3.1,,,,,,,,,
